ID	H3_212	H3_213	H3_216	H3_217	H3_219	H3_220	H4_130	H4_132	H4_134	H4_137	H4_138	H4_139	H4_140	H4_142	H4_143	H4_144	H4_146	H4_147	H4_149	H4_150	H4_151	H4_155	H4_156	H4_160
MAP	1.15020588870807	1.21978455255457	1.16205009353675	0.929468608587402	0.99824027993718	1.0077046322066	1.196713544749	1.40379921748206	1.16782741547785	1.17976199220993	1.23800340116726	1.23275335161888	1.20806578361979	1.1745622995254	1.11925660333252	1.33212384462182	0.964542992980992	1.03266220107542	1.27394087734593	1.19156467091789	1.05440227557586	1.15454151923424	1.1168728526147	1.25496696543533
Age	1.03448275862069	1.31034482758621	1.31034482758621	0.96551724137931	1.06896551724138	1.17241379310345	0.903225806451613	1.03225806451613	1.03225806451613	1	1.03225806451613	0.903225806451613	0.774193548387097	0.935483870967742	1.03225806451613	1.2258064516129	1.16129032258065	1.06451612903226	1.06451612903226	1.12903225806452	1.12903225806452	1.06451612903226	0.967741935483871	1.19354838709677
BMI	1.21618157745751	0.934561324518663	1.19126750266357	1.30057461785015	1.06431841585571	1.07975776001569	1.02642530218859	1.03964653127047	0.977297080748538	1.32219802353893	1.22099028925438	1.28683167623615	1.09373190218498	1.01861469673568	1.31247846809197	1.30387683308117	1.06016415022514	1.13957637724227	1.02877891651207	1.4101951932667	1.35424074840855	1.33392250970588	1.45966143378512	1.31693531223643
chr17:30167900:30169901:+:NSRP1;XM_047436921.1;mRNA:tss_coverage	0.493964438531182	1.32367608162768	0.751865678132361	1.13889896429223	0.871008745662672	0.674355060361131	0.949006830736499	0.839901015117976	0.82424953930806	0.940111932028284	1.03690911340989	0.707781412408858	0.899550958494777	0.743818487117126	0.989747644542014	1.05326800297206	1.02230039517688	0.819573048983958	1.01583086097703	1.02577821135122	0.868375120163748	1.04831000024966	1.00509608066807	0.872585128797471
chr14:58208032:58210033:+:ACTR10;XM_047431587.1;mRNA:tss_coverage	0.613135013219918	1.09388424891879	0.63994403284564	1.03469490448313	0.855954483961665	0.727858621679321	0.966411801668623	0.952360245517289	0.843066567617922	0.95102874785178	0.940379659456935	0.625652608457364	0.884774326585417	0.756310641696886	1.01075812680041	1.07828909927363	1.13986004275547	0.757969596123693	0.950492682127295	0.850073048493425	0.75545605960314	0.914445864299833	0.948948972671079	0.952301576479994
chr16:53207450:53209451:+:CHD9,CHD9,CHD9;NM_001352158.3,NM_001382354.1,NM_001382355.1;mRNA,mRNA,mRNA:tss_coverage	0.762572026573526	1.21400399936369	0.916900182584792	1.01531139015481	0.741339219920408	0.789224431722302	1.00811990464679	0.942378124479648	0.941291784385915	0.913713696732983	1.03927505211725	0.792101157324603	0.976838557014529	0.814653833345391	0.868157823358683	1.05766633936953	1.05828025808126	0.843066615356077	0.877961130520562	0.889345079620929	0.849263709676041	0.97237515633455	0.956830877491968	0.904140485144927
chr9:36399268:36401269:-:RNF38,RNF38,RNF38,RNF38;NM_022781.5,NM_194329.3,XM_047422797.1,XM_047422799.1;mRNA,mRNA,mRNA,mRNA:tss_coverage	1.00627656384424	1.10495311871155	0.986468659341059	0.880186448746215	0.885075466165693	1.07342214897023	1.05279536367064	0.987140986247834	0.999908783426248	0.987720817345019	1.04889971107057	0.888726489964951	0.974902782501174	1.16266133838673	0.935807803930646	0.965938753828775	0.952139316272787	1.0629053103498	0.925080402127735	1.00340030439698	0.922126658567827	1.21685842420657	0.815383866143625	1.00231513972848
chr8:105492249:105494250:+:ZFPM2;XM_047421627.1;mRNA:tss_coverage	0.825495264764892	1.06337779139178	0.892434076295959	1.05496473367857	0.864765503344556	0.906684219809266	0.961364864213669	1.00394989771843	0.907076546240757	1.06969416761192	0.893340910170658	0.864711744852411	0.993961686965447	0.966945264703734	0.949684510184939	1.07696225950242	1.09404754350272	0.852221269980278	1.02573660731332	0.837548252798228	0.881501460238696	1.14435252680765	0.897185337897832	0.963924916348729
chr3:97438606:97440607:+:EPHA6,EPHA6,EPHA6,EPHA6,EPHA6;NM_001278300.2,NM_173655.4,XM_017006215.2,XM_017006216.2,XM_017006217.2;mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	0.688786854440439	1.19133831997685	0.914829445257445	1.1135119829234	0.952438315319196	0.749648714948312	1.02717861071568	0.912444326464467	0.958274082718076	0.972499678524482	1.0141479764186	0.771770671165061	1.01000146884219	0.759368481878982	0.889555960059622	1.09080226537374	1.13578363151626	0.905137154208213	0.834918721532414	0.763861148799519	0.871215880865603	1.02982099756043	1.03584602426044	0.913620400278459
chr2:165139997:165141998:-:SCN3A;XM_011511613.4;mRNA:tss_coverage	0.681856580203721	1.15303080601963	0.87749375643458	1.1860708852669	0.742677659222521	0.794031061660989	0.989059430726884	0.951383029367657	0.887433607522712	0.886011258776845	1.07556386956699	0.839341080922267	0.872620668845474	0.913070832773358	0.936402819641867	1.01062626828782	1.06455309527867	0.9923321185423	0.997592506433451	0.963511648486611	0.927781492019756	1.03853656234003	1.01208549471966	0.890750755795132
