ID	H3_198	H3_199	H3_201	H3_202	H3_203	H3_204	H3_205	H3_206	H3_207	H3_208	H3_210	H3_211	H3_212	H3_213	H3_214	H3_215	H3_217	H3_218	H3_220
MAP	0.970109080606318	1.05396720600098	1.23192258581629	1.14970784814906	1.14840948830253	1.01103611836831	0.908138206401622	1.0612125528089	1.0503226326952	1.27083686148509	0.959019231073908	1.05620115080141	1.15020588870807	1.21978455255457	1.0642914135077	1.02610343189796	0.929468608587402	0.916418521904812	1.0077046322066
Age	1.57142857142857	1.17857142857143	1.25	1.14285714285714	1.03571428571429	1.25	1.32142857142857	1.10714285714286	0.785714285714286	1.5	1.20689655172414	1.17241379310345	1.03448275862069	1.31034482758621	1.31034482758621	1.31034482758621	0.96551724137931	1.24137931034483	1.17241379310345
BMI	1.03668083923119	1.08506963435192	1.38626286955073	1.02625843274404	1.14889728996985	1.1972267913607	1.23400066040947	1.12762106399531	1.16270506174215	1.09968707222896	1.19494701836192	1.17015464308163	1.21618157745751	0.934561324518663	1.06222366854937	1.09706672967105	1.30057461785015	1.03908426688302	1.07975776001569
chr17:30167900:30169901:+:NSRP1;XM_047436921.1;mRNA:tss_coverage	0.791170670620404	1.00546466116367	1.01018996589417	0.767706624535089	0.949154798799067	1.15098797033195	0.954129745696441	0.824739322444875	1.00476914886766	1.11989452704256	0.932554606114576	1.19167816900656	0.46545306316665	1.26031249694877	0.508564061407381	0.964811540657946	1.17423540458625	0.745237161410505	0.622995074244048
chr14:58208032:58210033:+:ACTR10;XM_047431587.1;mRNA:tss_coverage	0.857657590683915	1.0486671875051	0.941102066468952	0.952100399672718	0.902960326731006	1.10545079617772	0.914065914649285	0.82403219464246	0.934671328115333	0.971631976379872	1.09739465148416	1.16452619421678	0.688793167560731	1.07126418121657	0.670100369026916	1.30132139301505	1.0670626983009	0.919628941971537	0.793235307980622
chr16:53207450:53209451:+:CHD9,CHD9,CHD9;NM_001352158.3,NM_001382354.1,NM_001382355.1;mRNA,mRNA,mRNA:tss_coverage	0.77927811632715	1.00463023596245	0.93827058963826	0.785426536270293	0.948293756751516	1.08392877702432	0.786706069149526	0.733605503214989	1.00901891243777	1.09044891425155	1.00004429279778	1.15321693264315	0.725444579613578	1.31951602040735	0.714540453730305	1.18395402890086	1.06110740298279	0.837109466797939	0.718252062666778
chr9:36399268:36401269:-:RNF38,RNF38,RNF38,RNF38;NM_022781.5,NM_194329.3,XM_047422797.1,XM_047422799.1;mRNA,mRNA,mRNA,mRNA:tss_coverage	0.976694596602567	0.915037704561944	0.974453663497595	1.13253474966804	1.0536419755257	0.947521403123146	1.27425371024243	1.06020367362061	1.0958409440077	1.01413589154801	0.951442711782748	0.7630226645983	0.861488913038128	1.02978928282857	0.873538743721126	1.18938682004998	0.872945002253207	1.04441337013472	1.13417171597087
chr8:105492249:105494250:+:ZFPM2;XM_047421627.1;mRNA:tss_coverage	0.868056582896051	0.957428466151705	0.958433789600817	0.93866012939501	0.973203828527247	0.839524914704461	1.06594149253102	1.16296151479842	1.02072492952797	0.953851500721359	1.09328968895336	1.10165626974939	0.846973564614534	1.02685299134329	0.811667509523061	0.927262423589963	1.15444759340017	0.95013521380791	0.801912115725048
chr3:97438606:97440607:+:EPHA6,EPHA6,EPHA6,EPHA6,EPHA6;NM_001278300.2,NM_173655.4,XM_017006215.2,XM_017006216.2,XM_017006217.2;mRNA,mRNA,mRNA,mRNA,mRNA:tss_coverage	0.820756978638892	1.01403122930871	0.960836498984667	0.767330418886527	1.10724719626062	1.09058099364977	1.05522661900542	1.00308150120362	0.884458712790146	1.14037449455815	1.18815223908795	1.0417942594832	0.631492021301005	1.1151768601098	0.623538151422902	0.997732429229605	1.1475277056409	0.801871170746874	0.669628745061944
chr2:165139997:165141998:-:SCN3A;XM_011511613.4;mRNA:tss_coverage	0.862803673452316	1.02784798433567	1.15483825777685	0.836128913090476	1.0358359317808	0.966418913966887	0.986740886305704	0.871123687883769	1.13912434346943	1.14902365805211	0.8701154281735	1.11895009991814	0.628472514585808	1.15604056868771	0.745765904616579	1.08495170230687	1.23080166506275	0.874581807480612	0.802212902028346
